portuguese,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_msg.started,instr_resp.started,instr_button.started,word.started,thansk_msg.started,participant,session,date,expName,psychopyVersion,frameRate,
palavra2,,,,,0,0,0,1,34.374048899975605,34.374048899975605,34.374048899975605,34.768047200050205,,participante,001,2022-11-12_16h40.36.881,aula_038,2022.2.1,59.81537386779724,
palavra4,,,,,0,1,1,3,,,,36.75819550000597,,participante,001,2022-11-12_16h40.36.881,aula_038,2022.2.1,59.81537386779724,
palavra5,,,,,0,2,2,4,,,,38.75781310000457,,participante,001,2022-11-12_16h40.36.881,aula_038,2022.2.1,59.81537386779724,
palavra3,,,,,0,3,3,2,,,,40.758509999956004,,participante,001,2022-11-12_16h40.36.881,aula_038,2022.2.1,59.81537386779724,
palavra1,,,,,0,4,4,0,,,,42.7576111999806,,participante,001,2022-11-12_16h40.36.881,aula_038,2022.2.1,59.81537386779724,
,,,,,,,,,,,,,44.774346399935894,,,,,,,
