portuguese,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_msg.started,instr_resp.started,instr_button.started,word.started,thansk_msg.started,participant,session,date,expName,psychopyVersion,frameRate,
palavra5,,,,,0,0,0,4,20.839566999929957,20.839566999929957,20.839566999929957,21.00000589992851,,,001,2022-11-12_16h36.05.684,aula_038,2022.2.1,59.81984654330648,
palavra2,,,,,0,1,1,1,,,,22.974324199953116,,,001,2022-11-12_16h36.05.684,aula_038,2022.2.1,59.81984654330648,
palavra3,,,,,0,2,2,2,,,,24.972051999997348,,,001,2022-11-12_16h36.05.684,aula_038,2022.2.1,59.81984654330648,
palavra1,,,,,0,3,3,0,,,,26.974935799953528,,,001,2022-11-12_16h36.05.684,aula_038,2022.2.1,59.81984654330648,
palavra4,,,,,0,4,4,3,,,,28.97262159991078,,,001,2022-11-12_16h36.05.684,aula_038,2022.2.1,59.81984654330648,
,,,,,,,,,,,,,30.987543299910612,,,,,,,
